WORD,COUNT,RANK,Log Count,Log Rank
New,1081,1,3.033825694,0
York,798,2,2.902002891,0.301029996
January,727,3,2.861534411,0.477121255
years,603,4,2.780317312,0.602059991
family,508,5,2.705863712,0.698970004
said,464,6,2.666517981,0.77815125
new,425,7,2.62838893,0.84509804
wife,410,8,2.612783857,0.903089987
She,389,9,2.589949601,0.954242509
many,382,10,2.582063363,1
year,371,11,2.56937391,1.041392685
two,354,12,2.549003262,1.079181246
one,343,13,2.53529412,1.113943352
University,333,14,2.522444234,1.146128036
first,332,15,2.521138084,1.176091259
City,322,16,2.507855872,1.204119983
died,321,17,2.506505032,1.230448921
life,314,18,2.496929648,1.255272505
made,306,19,2.485721426,1.278753601
President,297,20,2.472756449,1.301029996
husband,287,21,2.457881897,1.322219295
home,280,22,2.447158031,1.342422681
children,274,23,2.437750563,1.361727836
American,270,24,2.431363764,1.380211242
would,266,25,2.424881637,1.397940009
survived,250,26,2.397940009,1.414973348
School,248,27,2.394451681,1.431363764
time,245,28,2.389166084,1.447158031
great,238,29,2.376576957,1.462397998
people,235,30,2.371067862,1.477121255
also,231,31,2.36361198,1.491361694
world,227,32,2.356025857,1.505149978
may,225,33,2.352182518,1.51851394
held,223,34,2.348304863,1.531478917
three,223,35,2.348304863,1.544068044
John,222,36,2.346352974,1.556302501
United,222,37,2.346352974,1.568201724
law,219,38,2.340444115,1.579783597
last,209,39,2.320146286,1.591064607
Trump,208,40,2.318063335,1.602059991
late,206,41,2.31386722,1.612783857
Center,202,42,2.305351369,1.62324929
College,201,43,2.303196057,1.633468456
service,199,44,2.298853076,1.643452676
friends,198,45,2.29666519,1.653212514
served,194,46,2.28780173,1.662757832
work,194,47,2.28780173,1.672097858
week,189,48,2.276461804,1.681241237
day,187,49,2.271841607,1.69019608
David,186,50,2.269512944,1.698970004
member,186,51,2.269512944,1.707570176
former,184,52,2.264817823,1.716003344
mother,178,53,2.250420002,1.72427587
father,177,54,2.247973266,1.73239376
beloved,174,55,2.240549248,1.740362689
including,174,56,2.240549248,1.748188027
loved,174,57,2.240549248,1.755874856
away,171,58,2.23299611,1.763427994
sister,170,59,2.230448921,1.770852012
state,170,60,2.230448921,1.77815125
Funeral,166,61,2.220108088,1.785329835
daughter,165,62,2.217483944,1.792391689
loving,165,63,2.217483944,1.799340549
career,164,64,2.214843848,1.806179974
friend,164,65,2.214843848,1.812913357
State,162,66,2.209515015,1.819543936
Board,160,67,2.204119983,1.826074803
Donald,160,68,2.204119983,1.832508913
This,160,69,2.204119983,1.838849091
president,160,70,2.204119983,1.84509804
show,160,71,2.204119983,1.851258349
company,159,72,2.201397124,1.857332496
Thursday,158,73,2.198657087,1.86332286
brother,157,74,2.195899652,1.86923172
Clinton,155,75,2.190331698,1.875061263
States,154,76,2.187520721,1.880813592
could,154,77,2.187520721,1.886490725
December,152,78,2.181843588,1.892094603
Times,151,79,2.178976947,1.897627091
son,151,80,2.178976947,1.903089987
love,149,81,2.173186268,1.908485019
passed,148,82,2.170261715,1.913813852
well,148,83,2.170261715,1.919078092
Foundation,147,84,2.167317335,1.924279286
passing,147,85,2.167317335,1.929418926
Michael,146,86,2.164352856,1.934498451
Brooklyn,145,87,2.161368002,1.939519253
Monday,145,88,2.161368002,1.944482672
Iowa,144,89,2.158362492,1.949390007
like,143,90,2.155336037,1.954242509
devoted,142,91,2.152288344,1.959041392
old,142,92,2.152288344,1.963787827
need,141,93,2.149219113,1.968482949
His,140,94,2.146128036,1.973127854
Cruz,139,95,2.1430148,1.977723605
missed,139,96,2.1430148,1.982271233
After,138,97,2.139879086,1.986771734
campaign,138,98,2.139879086,1.991226076
age,137,99,2.136720567,1.995635195
death,136,100,2.133538908,2
